Manufacturer,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Warranty_Years
47,4,115.6,355,10,11.0,-1.3414775467997042,33,31,3
49,10,42.4,465,14,12.0,1.0577475584941436,41,12,5
9,3,49.2,202,2,3.2,-0.03836429468461815,51,38,3
45,3,73.4,309,3,1.9,-0.651352629392525,40,19,3
35,3,138.4,128,1,6.5,-0.6960401803445893,35,12,4
26,6,36.3,255,3,6.3,-1.1652812554179022,27,32,3
19,8,95.0,433,4,9.3,-0.3065473224543295,16,11,3
10,10,29.5,130,8,5.6,-0.07220356218255838,15,20,3
8,3,33.8,223,14,1.9,-0.19222561320413079,9,10,3
5,7,60.7,490,8,6.2,0.03333660187612622,8,24,5
12,6,84.3,551,15,3.8,-1.7210009395586507,54,39,3
51,3,45.3,383,11,1.3,-0.0029220856546943712,46,38,4
48,12,118.1,201,10,6.3,-1.5924218821485678,20,20,4
14,9,148.8,478,11,7.3,0.007673952408908477,19,27,5
20,6,123.6,471,5,7.4,-0.829704262394935,42,16,3
5,4,94.4,458,1,2.7,-0.22186271492863135,48,32,5
49,3,62.3,439,15,6.5,-0.6626953022676589,32,1,5
17,6,92.6,215,11,9.4,0.6919778889448992,23,26,4
20,1,64.9,495,2,3.8,-0.7531651029890022,12,36,5
47,11,34.2,479,12,3.3,0.5705298144970516,26,2,5
35,3,147.1,180,13,8.0,1.3006448618309854,0,22,3
29,9,134.7,190,6,12.0,-0.3744013325044851,8,23,5
22,10,148.6,378,15,10.7,-1.2845442613856186,19,1,5
39,8,58.4,445,4,2.5,1.2157902628464576,13,39,4
41,6,69.9,328,0,11.5,-0.7035858962887221,52,28,4
45,2,85.3,558,11,8.4,0.46274195352603537,11,0,4
24,8,106.3,211,12,8.3,0.3141763451560312,6,36,3
2,5,94.5,176,8,4.3,0.05278893519548213,34,33,3
27,14,27.5,336,11,8.8,-0.37802339160178355,37,37,5
2,4,57.3,192,2,9.3,1.6389624981358604,42,14,3
44,11,105.0,278,1,2.6,0.11137797782400653,26,17,5
40,9,127.0,226,14,4.5,-0.7946577380679909,52,5,3
1,4,78.0,444,6,3.3,-1.596115805207239,7,2,4
11,1,61.7,254,2,11.8,0.055939116474128824,48,24,5
28,2,107.3,502,7,8.5,-0.33538843700828425,25,13,4
2,9,92.4,168,10,3.3,-1.0451010459592522,42,36,4
33,5,124.6,400,4,6.0,1.2619471287677921,36,24,5
8,7,98.6,204,10,11.0,0.16270731730245533,33,7,4
6,8,129.2,568,4,4.8,-0.31574792978204114,29,2,4
13,5,69.4,526,12,6.2,0.5177972518049723,45,20,3
40,11,113.6,350,8,11.0,0.12827322400375554,42,30,3
0,7,39.6,211,14,4.8,0.39044132478965826,24,9,4
46,7,55.7,600,11,0.7,1.0669045856685726,45,39,3
26,6,126.0,236,10,1.4,1.5730366934107285,47,28,3
51,3,81.9,426,5,8.6,-1.462953327835069,41,39,3
50,10,55.2,573,3,8.4,-0.7782995956316738,30,28,3
8,0,30.0,183,12,7.0,1.1925718538967713,45,27,5
36,13,76.8,529,3,4.4,0.9139933722126701,22,34,3
12,11,108.4,438,10,1.5,0.39314502595487694,10,3,5
33,13,31.9,582,11,5.6,0.8874672007678335,54,17,3
34,3,32.1,406,7,10.4,-1.7065825468588232,48,13,5
31,11,55.0,237,15,2.2,-1.1702286129514392,4,14,5
14,13,37.6,103,10,4.3,0.39860408952662185,10,20,4
41,12,43.1,303,7,3.9,0.6575414867639062,8,28,3
11,3,43.4,493,5,11.5,-0.15057481968806496,12,33,5
28,6,51.5,437,2,8.7,0.9835060255801309,40,19,5
7,14,103.0,143,1,9.3,0.5281652877421313,49,21,4
48,4,32.8,213,12,5.6,-0.3946978509122552,33,16,4
24,1,142.3,172,9,4.1,-0.1723576810720173,15,29,3
45,4,130.4,431,1,8.3,-1.1801106291659014,39,3,4
0,2,105.5,302,5,9.0,1.309129715647836,7,16,5
22,12,45.6,158,0,8.2,-0.05408056784345393,16,12,5
39,14,31.0,168,7,1.9,-0.6916922663763977,32,0,4
39,3,110.1,430,8,6.9,-0.05353336273998979,20,23,3
26,3,104.9,309,15,5.3,1.1594950947761273,8,21,4
50,8,79.5,480,15,6.8,-1.3572356684501024,34,25,5
42,7,127.9,484,12,3.9,1.7116210036276676,7,31,5
21,2,75.7,415,2,9.5,1.0681949622601283,10,30,4
11,0,108.3,148,2,11.6,0.9717803668546291,3,25,3
8,10,38.5,423,0,7.7,-0.44997884243534264,40,36,4
41,7,146.4,425,9,10.3,1.0063680008258202,13,33,5
11,1,83.1,275,6,1.0,0.4193401614009405,50,1,4
26,0,104.5,181,0,1.6,-0.5010175513551475,21,0,4
16,4,47.7,139,2,7.3,0.04968146823925807,7,37,4
1,13,115.0,152,1,4.1,1.3018278753959116,20,13,5
46,11,77.2,469,4,7.7,-1.2250642788022448,48,9,5
33,12,122.8,226,0,7.9,-0.8898393903289753,22,15,3
25,5,117.2,251,6,9.5,0.9997879749007755,17,26,4
41,1,129.1,315,9,6.8,-1.1509624332669643,0,6,4
27,7,85.1,312,13,8.6,-1.4638477311133582,30,27,3
29,14,102.5,527,3,4.1,-0.23416617144798074,41,3,3
45,4,112.0,459,5,2.4,1.5512812500040072,26,29,5
20,8,75.8,368,3,3.5,1.627593561724643,16,6,4
31,0,94.6,470,1,3.1,0.012903282192490291,44,37,5
10,12,52.3,568,7,3.6,-1.4795738170219395,51,5,3
6,12,31.2,333,5,4.7,-0.7394338913816579,6,24,5
29,4,141.2,112,12,6.7,0.4531502792599305,23,37,3
42,9,84.0,130,2,8.7,-1.427140543197103,14,29,5
49,13,96.9,131,13,8.1,-1.2966370323957226,11,31,4
50,11,121.4,399,1,2.3,-1.1800381879839552,47,12,4
18,11,125.0,255,6,3.0,1.2172682361243279,9,36,4
5,9,131.1,384,12,1.6,-1.3963839221707361,6,17,3
5,2,101.9,430,3,7.2,-0.8529422968441126,37,6,3
10,4,142.5,125,8,11.1,-0.2491612075005097,52,34,4
47,4,99.8,415,12,7.9,-0.02149906397467922,28,22,3
0,8,112.7,345,15,4.5,0.20971067719449724,38,13,4
25,5,146.6,151,12,8.1,-0.8262527719770393,37,30,3
39,12,124.8,457,9,11.0,-1.6516334571653688,23,4,4
39,13,27.3,408,12,0.7,-0.09389147078220722,36,9,3
13,1,88.4,286,3,4.8,1.5128628916982794,13,16,5
28,7,145.9,455,9,3.1,0.29040293862514116,32,13,4
35,11,98.3,571,12,7.9,-1.3887545092434783,8,32,5
32,10,21.5,207,12,8.5,-0.5354923387042628,6,10,4
33,9,33.2,345,12,2.4,-1.494042427911642,41,18,4
31,0,147.1,273,15,8.6,-0.25550976797567104,42,21,4
43,6,58.7,149,6,5.0,0.1543376189899728,8,32,4
26,5,42.2,249,3,5.9,-1.3492772397960782,6,34,4
33,10,25.8,325,14,3.5,1.1497524773301109,29,30,5
24,4,129.3,519,13,11.6,0.6302164420456573,0,28,5
11,2,147.8,175,1,11.4,-0.19415208686743496,35,33,3
5,1,97.4,263,3,1.5,0.17754708102077327,28,12,5
48,9,39.5,390,1,11.1,0.1994338421079152,54,7,5
4,11,55.8,173,10,0.9,1.3315613729561493,36,3,4
5,6,129.6,539,1,11.7,-0.959831713992827,25,19,3
15,7,83.0,364,9,9.9,0.035223535930161205,35,6,3
39,1,27.5,116,14,1.1,-0.5012265052026731,31,25,3
3,10,43.1,545,15,7.2,-0.537990260735109,35,31,3
11,2,49.3,205,0,8.0,0.0283370058807079,33,37,4
4,6,75.1,292,9,5.8,-0.9935933453236617,25,29,5
16,2,34.1,132,7,11.9,0.46926483461432544,4,31,5
51,11,113.8,435,15,12.0,-0.8508449658911192,48,34,5
9,3,103.0,343,9,6.3,1.1786383264784945,50,38,3
44,13,48.9,214,11,5.3,1.3221041910836175,51,31,5
14,0,45.3,161,10,6.6,-0.31859795636258476,41,32,3
41,10,63.2,190,7,7.8,-1.7329976033433045,4,33,5
52,9,145.5,296,5,0.9,-1.0586859321512714,51,37,3
43,11,33.4,357,11,2.4,1.103915680216657,25,7,4
28,11,143.3,570,10,0.7,-0.9724246466296735,20,33,4
0,14,26.3,124,1,8.0,-1.6809499128614156,23,5,3
43,9,106.0,439,0,7.7,0.6775199566358023,48,10,3
4,1,88.0,203,9,8.6,-0.7264253599320538,44,38,3
32,1,94.6,352,2,11.4,0.9504295550697729,40,10,4
2,1,25.1,248,9,9.7,-0.6663162069238107,39,5,5
16,12,136.3,589,0,10.6,-1.4274014468962228,37,20,4
16,11,110.5,130,8,1.7,1.406550983733126,0,28,5
40,0,83.5,554,13,5.6,-1.5299686363922567,42,12,5
11,1,64.0,367,1,5.5,0.7673089256909682,0,4,3
16,1,81.0,353,8,1.4,-0.046585935920056,17,20,3
19,8,94.5,145,15,5.6,-1.3382018200463706,8,11,5
14,3,46.9,443,14,11.4,-0.49094938150580414,3,2,5
15,8,105.7,101,7,4.6,0.44525159293523986,10,7,4
49,13,53.1,200,4,1.9,1.2021026313923961,15,1,5
44,8,135.9,334,2,11.6,-1.7342992357360387,39,30,5
21,13,70.4,407,7,6.3,-0.41711074855193686,22,3,4
4,6,129.6,380,7,8.7,1.4906589479061232,16,33,5
16,3,110.3,265,1,9.2,0.19803639110001733,27,28,4
10,13,23.3,174,6,8.2,-1.0569952530921498,46,21,3
8,12,125.8,152,12,9.0,0.19453958886711936,17,35,4
48,4,21.7,228,4,7.6,0.9552735901206941,7,2,5
4,6,78.3,449,3,2.7,-1.1474131039618984,19,5,4
46,7,141.9,120,2,11.2,0.31786767072212246,33,9,5
41,3,28.9,358,8,5.3,0.11060709974839804,21,4,5
25,1,117.8,432,5,1.8,-0.5509869591629614,17,9,3
33,7,56.8,566,9,6.4,0.012593891965215043,8,18,5
29,13,47.4,422,4,10.4,-0.2801475623150398,54,33,5
44,10,113.2,119,3,1.3,-1.1328775354856961,18,38,4
0,12,22.2,444,1,6.7,0.47213246642235396,43,6,3
30,13,56.6,574,14,4.9,1.097953568915303,2,22,5
13,0,138.8,507,9,11.5,-1.710705344803437,28,32,3
45,5,73.6,430,2,2.4,-0.9846617227830963,50,31,4
16,2,28.8,150,4,8.8,-0.06202398876257299,36,4,3
41,12,100.1,256,2,7.0,-0.486963384837056,38,39,4
3,7,63.1,345,14,5.6,0.9339467329896284,8,38,3
29,7,135.2,139,3,10.8,1.1930734585749472,16,11,4
29,8,39.3,300,12,10.8,0.29265611913291856,41,7,5
46,1,145.3,414,8,9.2,-1.2631729582704108,35,23,4
7,5,28.2,289,12,1.0,-1.0331964488560357,6,0,3
9,14,90.8,189,10,8.0,-0.4841811816738723,42,6,4
28,4,85.2,171,14,2.4,-1.482340435229645,42,25,4
10,10,107.8,345,4,7.3,0.4923461536778593,48,11,3
11,11,53.6,192,10,7.4,0.20262327438554417,2,7,3
24,1,119.8,419,0,2.4,0.6251019791561574,47,15,5
27,14,32.5,343,6,10.6,0.09119170854573166,46,5,5
16,9,68.1,122,13,3.1,1.0293029944740286,6,13,4
49,8,50.2,539,3,3.8,1.2872034149514249,48,31,3
25,2,46.7,511,7,5.2,-1.3801897103772292,5,16,3
24,12,92.7,347,0,11.9,0.25127084708055897,33,34,3
42,8,64.0,381,6,2.3,1.5912967776359859,53,36,3
3,4,114.2,576,10,7.6,0.05508887056969507,12,15,3
26,6,45.3,501,12,7.6,0.5850425827606094,51,3,5
51,5,87.3,477,3,11.1,0.15409518634919722,52,38,3
6,4,53.9,308,1,6.9,-0.0066844093512985975,36,5,5
15,10,120.1,487,7,11.6,-0.16018150168907508,47,16,5
43,9,144.2,364,5,8.6,-0.8372569049859473,11,36,4
41,0,94.6,193,4,6.2,-1.05781230881362,39,3,3
35,0,30.2,589,15,7.6,0.8975030462650732,30,18,4
39,5,117.5,165,6,6.5,-0.28372719570020255,30,18,5
25,7,21.1,445,4,4.9,-1.400399645699008,51,9,4
39,5,74.5,485,9,4.7,-0.361940294768632,7,23,3
23,5,39.0,591,2,5.9,-1.7155814155961748,48,26,4
45,1,93.8,303,1,8.4,-1.5413964493019483,37,31,4
23,4,73.5,279,4,7.1,0.5013724403924418,30,23,3
33,2,144.4,544,8,7.9,1.4666047235663349,48,9,5
30,2,71.4,554,14,9.5,1.5019415898416362,39,16,5
38,5,41.7,152,1,1.2,1.2938691581316013,28,30,4
14,2,141.1,299,11,3.1,0.8052020132750162,7,17,4
17,0,55.4,327,2,11.6,0.6667718209511414,32,16,5
0,10,90.2,512,3,5.6,-0.48249598621019696,18,32,4
17,7,139.9,584,15,3.9,0.9031306582442146,10,7,4
38,9,127.7,212,0,1.4,0.41637382487488206,26,9,4
26,11,57.6,426,14,7.6,-0.80683334023036,43,26,3
30,7,77.0,104,12,1.5,-1.6983251179478425,15,20,3
8,6,120.8,136,15,2.6,1.3527733631931331,18,13,3
36,10,115.6,148,4,5.9,0.6107332274256314,25,12,4
17,5,66.9,126,4,11.7,-0.932095976836693,5,12,3
7,7,97.5,290,3,3.4,-0.017940210530154394,45,9,3
49,12,147.6,503,9,9.8,-0.22989647086746806,31,11,5
15,3,110.6,197,8,6.8,-0.6283102727176875,47,25,3
15,3,67.7,100,10,8.9,1.3085582672802945,43,0,4
26,10,119.5,178,11,4.2,0.4703355787777501,34,10,3
22,13,24.1,428,10,8.1,0.0717673704241796,23,16,5
28,8,103.1,284,13,10.0,1.001421220512856,3,9,5
22,3,70.1,198,12,7.1,1.532188525101801,28,38,5
32,11,123.0,381,10,6.3,0.5279237209322161,30,15,4
8,1,114.4,411,12,7.0,-1.0084195443585078,33,38,5
7,4,87.3,555,11,0.6,1.6599542787241397,15,12,5
23,4,79.8,179,2,3.5,1.3317382910618583,17,2,5
41,10,127.3,453,1,7.3,-0.7089629945390622,52,28,3
35,1,98.3,105,10,1.1,0.06678711131796594,38,27,4
8,3,31.7,321,11,9.5,-1.2367071063754813,36,36,5
52,10,92.7,349,10,8.0,-1.0701665607434176,43,29,3
20,12,65.3,264,9,7.3,-1.6654858850931007,25,21,4
7,2,68.6,487,3,1.8,-1.5604392446245658,43,32,4
17,5,116.2,208,4,6.8,0.8494006584015162,28,22,5
25,11,27.8,202,0,1.1,0.5183161731003461,53,6,3
30,9,86.1,463,1,10.9,-0.07078013624886288,22,27,3
38,10,71.1,180,5,4.5,-0.5305331481489736,16,24,4
5,6,49.3,274,10,8.1,-1.4452594969921944,1,29,5
13,0,98.7,329,2,2.9,-1.2693867377417125,30,8,3
16,13,92.5,585,1,2.6,1.1582159739857505,9,11,3
35,11,44.0,490,0,7.5,0.37148568977360535,22,2,5
4,12,43.9,298,15,5.9,-1.1820766424384748,14,18,3
1,1,100.2,452,7,10.5,1.324678594840422,5,34,5
36,13,78.7,523,6,10.6,-0.8983083705800611,30,34,3
30,0,59.6,523,11,5.8,-0.2861988541949646,43,30,3
39,9,62.0,112,8,5.7,1.3559544257724498,31,1,5
40,13,111.8,424,9,1.5,0.7002142493049553,52,35,5
32,1,38.8,493,6,5.3,-0.6773598795419883,33,19,5
8,10,84.7,355,5,7.5,-0.040286727803909406,15,16,3
38,2,92.5,522,4,1.1,-1.235862921287067,42,4,4
19,9,149.2,182,11,7.5,0.6456132236171858,22,28,3
35,12,136.7,519,3,9.2,1.1713321570722708,40,7,5
42,14,27.6,392,3,6.1,0.6357104274620855,6,7,3
14,7,102.1,352,8,10.7,-0.9433315752954843,11,8,5
24,12,65.5,512,4,0.6,-1.0525457483030622,11,31,5
37,7,94.0,591,5,10.1,-1.0773832609607839,50,20,4
13,0,63.6,501,13,11.2,-1.5552988068092684,26,24,5
37,11,56.5,115,7,11.8,0.42048767590061076,50,21,5
7,13,84.6,221,9,5.7,1.5433522595992195,15,29,3
15,8,82.7,356,2,2.7,1.4495308276191572,52,29,3
40,9,112.8,367,1,0.5,1.479663761816101,45,15,5
36,14,118.6,427,4,4.2,-1.0824740578067797,4,27,3
46,3,33.3,377,9,6.8,-0.8105809448023457,12,7,4
2,10,137.4,125,1,4.9,-1.451062006805038,13,23,4
37,8,89.4,598,14,7.0,-1.427523240437184,10,1,3
50,6,138.7,300,8,8.5,0.5544135274809364,6,12,3
30,14,36.6,152,10,9.9,1.0101078129200662,38,38,5
38,9,28.6,206,13,9.5,-0.24155142007274333,6,20,4
20,3,32.7,327,8,4.0,-0.34392726094873627,22,10,3
42,0,118.1,514,5,9.2,0.5395241227933169,7,27,4
11,0,142.6,322,9,11.9,0.2688500996396388,43,35,3
46,1,147.2,156,11,10.5,-0.9346057318892912,23,16,3
32,11,44.5,296,9,10.2,-1.2150445954810567,24,17,5
52,11,103.5,312,14,10.8,0.6590402399824141,5,9,3
39,4,95.1,533,12,8.7,-0.8168206991994446,30,28,4
43,7,115.1,539,0,5.8,-1.4783703121266618,43,36,5
45,3,121.2,340,14,6.4,-0.12421835109177085,52,20,5
45,2,81.5,186,6,8.0,-0.7388861090576204,39,9,4
49,6,131.5,107,1,7.4,1.4027577787358518,39,32,4
39,13,145.8,404,2,10.1,0.8577339918178827,48,13,3
16,4,41.8,304,15,4.0,0.8348388263892302,46,27,4
46,9,108.2,592,6,1.6,0.09071867628593311,49,39,4
16,8,107.8,223,4,6.5,0.5978352337158089,32,12,3
25,10,65.7,471,11,3.4,-1.6314243876744499,43,36,5
20,1,98.6,292,8,10.8,0.6599516712676148,18,7,5
32,11,121.5,241,6,4.9,-0.5972309853908601,3,31,5
51,10,34.1,376,13,3.0,0.47876617386071313,7,31,3
28,2,20.1,119,10,3.6,0.675195489387225,13,28,4
40,5,20.4,588,15,1.9,0.1046092007715013,49,20,4
29,1,79.8,492,11,7.9,-1.137635564671199,44,13,4
19,11,24.6,112,12,6.1,-1.531157999383489,30,24,3
37,13,47.5,434,14,11.3,1.2644620788055503,30,32,4
16,0,139.3,123,12,8.6,-1.2972275290421824,32,30,3
20,8,100.0,132,4,5.4,1.061237722690449,39,34,5
39,13,55.6,487,13,2.4,-0.4681439738762959,35,19,3
34,4,20.9,574,3,8.6,0.30695877910780484,11,14,5
15,11,99.4,119,8,8.7,0.37040455563986174,21,24,5
3,5,80.3,420,4,3.7,-1.0784104249709263,6,32,5
3,9,52.7,415,14,1.0,0.8149812842274352,30,23,5
21,5,117.1,559,7,3.1,-1.367896355217912,14,10,4
21,0,76.7,210,14,2.5,-0.45582233490888824,47,8,3
47,1,80.5,314,8,9.2,-0.9878979099271605,11,15,3
19,10,132.1,210,15,10.1,-0.7824627990164172,52,39,3
11,4,25.2,340,6,5.4,-0.3836637024335371,10,10,3
49,5,104.2,146,5,6.0,-0.6935742940555599,12,1,5
51,2,80.4,424,5,10.4,-1.5044699175678486,23,20,5
48,13,100.7,271,6,6.4,1.4023164936075831,51,30,3
16,7,120.6,170,7,3.2,-1.3560350496576912,0,16,4
47,9,56.0,132,9,4.5,-0.06536090089667407,26,5,5
3,5,135.9,334,3,1.4,1.3605548737414486,11,6,3
25,6,74.1,449,2,5.9,-0.29427590167679685,39,11,4
21,2,122.3,348,14,5.8,0.21525401496994018,6,24,3
12,11,100.4,182,11,2.6,-1.1419958888817157,12,32,4
3,3,111.9,440,7,11.7,-1.2369431895899508,7,27,3
6,4,146.1,379,7,7.9,-0.7257130697446329,11,28,5
17,2,91.6,257,5,5.1,1.1629067569744669,7,4,3
48,4,30.9,534,14,8.3,1.5672385127521848,19,34,4
13,9,68.5,245,9,4.5,1.6361586492011788,28,36,3
10,11,128.6,406,3,2.2,-0.6991343712276279,26,20,4
0,11,92.3,463,2,2.8,1.1331458414369993,11,38,3
34,6,59.0,427,15,1.9,0.5569518549519117,11,14,4
1,14,82.5,323,0,7.7,-0.10063889067350114,23,5,3
13,0,110.1,282,8,1.1,-0.49849625189108376,16,4,3
35,8,32.3,485,8,6.8,1.2722308905012536,37,24,4
5,11,87.4,290,15,5.2,1.4400782635112117,35,10,5
9,10,139.1,159,2,11.1,-0.08859518341212534,25,0,3
9,7,125.9,213,2,10.4,-1.2562855623900977,14,24,3
34,4,45.5,116,6,5.9,1.3972089573649622,44,6,5
26,12,23.8,174,0,11.4,-0.5446513861506986,35,35,3
25,6,42.3,486,5,11.7,-1.4075413072418486,15,35,3
12,5,86.9,308,1,9.3,-0.6608678219326711,47,5,3
41,9,56.9,407,11,8.4,1.1636453106979723,14,38,5
3,2,83.9,153,10,5.5,0.5314436119880447,21,5,3
3,5,97.3,306,1,3.2,-0.2784340830432741,8,25,4
17,9,148.4,361,0,2.2,-0.17477479222260492,34,31,3
28,9,98.6,267,2,4.0,0.4091340358345849,46,6,5
28,6,90.5,514,5,11.5,-1.6398861526683697,5,5,3
23,10,76.0,259,10,6.1,-1.3704967339005145,45,26,5
2,10,96.8,293,9,9.3,-0.7642229175112248,3,11,3
8,9,32.7,276,9,5.2,-1.5538199677005387,17,3,3
37,3,62.4,335,13,7.0,1.372551826136389,4,11,4
11,13,109.8,205,7,6.2,1.0610166472108846,24,20,5
42,4,58.7,393,10,9.8,0.41377373480256646,21,16,4
